age,male,female
0,300,298
1,150,144
2,120,110
3,83.608,91
4,74.142,71.604
5,67.041,67.762
6,61.552,64.474
7,57.215,61.641
8,53.732,59.191
9,50.903,57.058
10,48.588,55.186
11,46.688,53.558
12,45.131,52.125
13,43.863,50.869
14,42.845,49.774
15,42.046,48.82
16,41.445,47.947
17,40.944,47.105
18,40.628,46.395
19,40.6,45.914
20,40.6,45.647
21,40.6,45.583
22,40.6,45.583
23,40.6,45.583
24,40.6,45.583
25,40.6,45.583
26,40.6,45.583
27,40.6,45.583
28,40.6,45.583
29,40.6,45.592
30,40.6,45.624
31,40.601,45.679
32,40.626,45.753
33,40.682,45.854
34,40.77,45.979
35,40.889,46.123
36,41.041,46.292
37,41.226,46.485
38,41.446,46.704
39,41.7,46.95
40,41.991,47.222
41,42.319,47.522
42,42.659,47.846
43,43.005,48.206
44,43.356,48.591
45,43.713,49.014
46,44.076,49.466
47,44.445,49.954
48,44.821,50.48
49,45.203,51.045
50,45.591,51.635
51,45.986,52.233
52,46.388,52.85
53,46.798,53.483
54,47.214,54.131
55,47.638,54.794
56,48.07,55.474
57,48.509,56.172
58,48.957,56.887
59,49.413,57.62
60,49.877,58.373
61,50.35,59.138
62,50.833,59.931
63,51.324,60.745
64,51.826,61.582
65,52.337,62.443
66,52.858,63.328
67,53.39,64.238
68,53.933,65.175
69,54.487,66.139
70,55.052,67.123
71,55.655,68.147
72,56.324,69.202
73,57.064,70.29
74,57.879,71.414
75,58.775,72.573
76,59.759,73.783
77,60.838,75.121
78,62.021,76.598
79,63.317,78.255
80,64.739,80.083
81,66.299,82.117
82,68.013,84.382
83,69.899,86.892
84,71.979,89.713
85,74.278,92.857
86,76.828,96.391
87,79.664,100.382
88,82.832,104.91
89,86.387,110.052
90,90.396,115.959
91,94.945,122.8
92,100.143,130.799
93,106.131,140.256
94,113.094,151.591
95,121.278,165.3
96,131.025,182.4
97,142.815,204.1
98,157.347,232.7
99,175.685,271.7
100,199.522,328.2
